ROC AUC,Accuracy,Precision,Recall,F1 Score,Type I Error,Type II Error,Epsilon,Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Sample Ratio
0.9,0.838,0.402,0.79,0.532,0.156,0.21,0.643,32,1.5,0.003,1.0,1.0
0.897,0.804,0.357,0.849,0.503,0.202,0.151,0.643,32,1.5,0.003,2.0,1.0
0.904,0.856,0.433,0.764,0.553,0.132,0.236,0.643,32,1.5,0.005,0.5,1.0
0.901,0.826,0.386,0.821,0.526,0.173,0.179,0.643,32,1.5,0.005,1.0,1.0
0.904,0.838,0.402,0.794,0.534,0.156,0.206,0.643,32,1.5,0.005,2.0,1.0
0.884,0.843,0.405,0.734,0.522,0.143,0.266,0.449,32,2.0,0.001,0.5,1.0
0.885,0.805,0.355,0.807,0.493,0.195,0.193,0.449,32,2.0,0.001,1.0,1.0
0.883,0.771,0.32,0.856,0.466,0.241,0.144,0.449,32,2.0,0.001,2.0,1.0
0.897,0.841,0.407,0.781,0.535,0.151,0.219,0.449,32,2.0,0.003,0.5,1.0
0.901,0.842,0.409,0.786,0.538,0.151,0.214,0.449,32,2.0,0.003,1.0,1.0
0.9,0.856,0.434,0.753,0.551,0.13,0.247,0.449,32,2.0,0.003,2.0,1.0
0.899,0.827,0.387,0.813,0.524,0.171,0.187,0.449,32,2.0,0.005,0.5,1.0
0.901,0.831,0.392,0.812,0.529,0.167,0.188,0.449,32,2.0,0.005,1.0,1.0
0.9,0.759,0.315,0.901,0.466,0.26,0.099,0.449,32,2.0,0.005,2.0,1.0
0.826,0.746,0.281,0.749,0.408,0.254,0.251,2.763,64,0.8,0.001,0.5,1.0
0.828,0.743,0.281,0.767,0.411,0.26,0.233,2.763,64,0.8,0.001,1.0,1.0
0.808,0.725,0.261,0.736,0.385,0.276,0.264,2.763,64,0.8,0.001,2.0,1.0
0.893,0.796,0.346,0.834,0.489,0.209,0.166,2.763,64,0.8,0.003,0.5,1.0
0.89,0.775,0.326,0.869,0.474,0.238,0.131,2.763,64,0.8,0.003,1.0,1.0
0.892,0.818,0.371,0.805,0.508,0.181,0.195,2.763,64,0.8,0.003,2.0,1.0
0.895,0.734,0.294,0.908,0.444,0.289,0.092,2.763,64,0.8,0.005,0.5,1.0
0.896,0.742,0.3,0.9,0.449,0.279,0.1,2.763,64,0.8,0.005,1.0,1.0
0.898,0.843,0.409,0.774,0.535,0.148,0.226,2.763,64,0.8,0.005,2.0,1.0
0.821,0.779,0.305,0.698,0.425,0.211,0.302,1.419,64,1.1,0.001,0.5,1.0
