ROC AUC,Accuracy,Precision,Recall,F1 Score,Type I Error,Type II Error,Epsilon,Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Sample Ratio
0.747,0.699,0.227,0.654,0.337,0.295,0.346,2.763,32,0.8,0.001,1.0,0.5
0.751,0.693,0.223,0.65,0.332,0.301,0.35,2.763,32,0.8,0.001,2.0,0.5
0.746,0.704,0.225,0.626,0.331,0.286,0.374,2.763,32,0.8,0.003,0.5,0.5
0.781,0.76,0.276,0.645,0.386,0.224,0.355,2.763,32,0.8,0.003,1.0,0.5
0.817,0.76,0.288,0.714,0.41,0.234,0.286,2.763,32,0.8,0.003,2.0,0.5
0.751,0.764,0.262,0.559,0.357,0.208,0.441,2.763,32,0.8,0.005,0.5,0.5
0.86,0.873,0.466,0.569,0.512,0.087,0.431,2.763,32,0.8,0.005,1.0,0.5
0.865,0.884,0.504,0.545,0.524,0.071,0.455,2.763,32,0.8,0.005,2.0,0.5
0.708,0.653,0.197,0.638,0.301,0.345,0.362,1.419,32,1.1,0.001,0.5,0.5
0.731,0.676,0.211,0.647,0.318,0.32,0.353,1.419,32,1.1,0.001,1.0,0.5
0.749,0.684,0.221,0.671,0.332,0.314,0.329,1.419,32,1.1,0.001,2.0,0.5
0.738,0.68,0.216,0.661,0.326,0.317,0.339,1.419,32,1.1,0.003,0.5,0.5
0.748,0.721,0.236,0.617,0.341,0.265,0.383,1.419,32,1.1,0.003,1.0,0.5
0.771,0.727,0.249,0.664,0.362,0.265,0.336,1.419,32,1.1,0.003,2.0,0.5
0.844,0.842,0.394,0.648,0.491,0.132,0.352,1.419,32,1.1,0.005,0.5,0.5
0.876,0.867,0.45,0.604,0.516,0.098,0.396,1.419,32,1.1,0.005,1.0,0.5
0.777,0.742,0.261,0.657,0.374,0.246,0.343,1.419,32,1.1,0.005,2.0,0.5
0.738,0.669,0.212,0.674,0.322,0.332,0.326,0.904,32,1.5,0.001,0.5,0.5
0.773,0.694,0.232,0.698,0.348,0.306,0.302,0.904,32,1.5,0.001,1.0,0.5
0.758,0.693,0.228,0.68,0.341,0.305,0.32,0.904,32,1.5,0.001,2.0,0.5
0.766,0.737,0.252,0.635,0.361,0.249,0.365,0.904,32,1.5,0.003,0.5,0.5
0.763,0.692,0.23,0.695,0.346,0.308,0.305,0.904,32,1.5,0.003,1.0,0.5
0.802,0.775,0.294,0.657,0.406,0.209,0.343,0.904,32,1.5,0.003,2.0,0.5
0.861,0.876,0.475,0.574,0.52,0.084,0.426,0.904,32,1.5,0.005,0.5,0.5
0.858,0.872,0.459,0.557,0.503,0.087,0.443,0.904,32,1.5,0.005,1.0,0.5
0.865,0.866,0.447,0.606,0.514,0.099,0.394,0.904,32,1.5,0.005,2.0,0.5
0.724,0.673,0.209,0.646,0.316,0.323,0.354,0.638,32,2.0,0.001,0.5,0.5
0.735,0.69,0.217,0.633,0.324,0.302,0.367,0.638,32,2.0,0.001,1.0,0.5
0.747,0.669,0.213,0.677,0.323,0.332,0.323,0.638,32,2.0,0.001,2.0,0.5
0.85,0.834,0.381,0.676,0.488,0.145,0.324,0.638,32,2.0,0.003,0.5,0.5
0.757,0.705,0.231,0.654,0.341,0.289,0.346,0.638,32,2.0,0.003,1.0,0.5
0.787,0.735,0.258,0.678,0.374,0.258,0.322,0.638,32,2.0,0.003,2.0,0.5
0.865,0.879,0.483,0.55,0.515,0.078,0.45,0.638,32,2.0,0.005,0.5,0.5
0.838,0.863,0.435,0.56,0.49,0.096,0.44,0.638,32,2.0,0.005,1.0,0.5
0.746,0.695,0.225,0.656,0.335,0.3,0.344,0.638,32,2.0,0.005,2.0,0.5
0.723,0.67,0.204,0.629,0.308,0.325,0.371,3.813,64,0.8,0.001,0.5,0.5
0.733,0.666,0.212,0.684,0.324,0.336,0.316,3.813,64,0.8,0.001,1.0,0.5
0.75,0.666,0.213,0.686,0.325,0.337,0.314,3.813,64,0.8,0.001,2.0,0.5
0.74,0.699,0.222,0.625,0.327,0.291,0.375,3.813,64,0.8,0.003,0.5,0.5
0.823,0.813,0.343,0.651,0.449,0.166,0.349,3.813,64,0.8,0.003,1.0,0.5
0.762,0.709,0.237,0.667,0.349,0.285,0.333,3.813,64,0.8,0.003,2.0,0.5
0.794,0.789,0.306,0.634,0.413,0.191,0.366,3.813,64,0.8,0.005,0.5,0.5
0.731,0.691,0.218,0.633,0.324,0.301,0.367,3.813,64,0.8,0.005,1.0,0.5
0.795,0.721,0.254,0.717,0.376,0.279,0.283,3.813,64,0.8,0.005,2.0,0.5
0.73,0.674,0.21,0.65,0.318,0.323,0.35,2.013,64,1.1,0.001,0.5,0.5
0.73,0.667,0.211,0.674,0.321,0.334,0.326,2.013,64,1.1,0.001,1.0,0.5
0.742,0.662,0.211,0.693,0.324,0.342,0.307,2.013,64,1.1,0.001,2.0,0.5
0.741,0.697,0.223,0.642,0.331,0.296,0.358,2.013,64,1.1,0.003,0.5,0.5
0.763,0.697,0.23,0.676,0.343,0.3,0.324,2.013,64,1.1,0.003,1.0,0.5
0.744,0.723,0.234,0.603,0.337,0.261,0.397,2.013,64,1.1,0.003,2.0,0.5
0.739,0.684,0.218,0.66,0.328,0.313,0.34,2.013,64,1.1,0.005,0.5,0.5
0.852,0.856,0.422,0.622,0.503,0.113,0.378,2.013,64,1.1,0.005,1.0,0.5
